,name,link,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT,ACT Range,ACT English,ACT Math,ACT Writing,Students Submitting ACT
166,Temple University,https://www.niche.com/colleges/temple-university/admissions,57%,"35,880",1010-1230,500-610,510-620,90%,22-28,21-29,21-28,8-Jul,20%
167,University of Missouri,https://www.niche.com/colleges/university-of-missouri/admissions,78%,"16,367",1120-1350,570-680,550-670,7%,23-29,23-30,22-27, ,96%
168,Missouri University of Science & Technology,https://www.niche.com/colleges/missouri-university-of-science--and--technology/admissions,84%,"3,876",1100-1340,520-640,580-700,2%,25-31,24-31,26-30,8-Jul,97%
169,"Binghamton University, SUNY",https://www.niche.com/colleges/binghamton-university-suny/admissions,40%,"33,467",1290-1430,640-710,650-720,97%,28-31, , , ,50%
170,University of Arkansas,https://www.niche.com/colleges/university-of-arkansas/admissions,66%,"21,715",1110-1280,560-640,550-640,24%,23-29,23-30,22-28, ,93%
171,The College of New Jersey,https://www.niche.com/colleges/the-college-of-new-jersey/admissions,48%,"12,898",1170-1330,590-660,580-670,83%,25-30, ,25-29, ,0%
172,University of South Carolina,https://www.niche.com/colleges/university-of-south-carolina/admissions,72%,"26,015",1170-1330,590-660,580-670,47%,25-30,24-31,24-28, ,53%
173,Luther College,https://www.niche.com/colleges/luther-college/admissions,65%,"4,288",1020-1300,500-640,520-660,11%,23-28,22-29,22-28, ,87%
174,University of Nebraska - Lincoln,https://www.niche.com/colleges/university-of-nebraska---lincoln/admissions,64%,"14,947",1100-1380,550-680,550-700,7%,22-29,21-29,21-28, ,93%
175,United States Merchant Marine Academy,https://www.niche.com/colleges/united-states-merchant-marine-academy/admissions,22%,"1,855",1210-1280,580-620,630-660,66%,26-28,25-28,26-28, ,75%
176,Trinity College - Connecticut,https://www.niche.com/colleges/trinity-college---connecticut/admissions,34%,"6,085",1260-1420,620-710,640-710,26%,28-32,28-33,27-31, ,31%
177,University of St. Thomas - Minnesota,https://www.niche.com/colleges/university-of-st-thomas---minnesota/admissions,84%,"6,439",1090-1330,540-650,550-680,5%,24-29,23-29,24-28, ,97%
178,"University at Buffalo, SUNY",https://www.niche.com/colleges/university-at-buffalo-suny/admissions,57%,"27,798",1080-1260,520-610,560-650,66%,24-28,22-27,24-28, ,34%
179,Drake University,https://www.niche.com/colleges/drake-university/admissions,69%,"5,574",1100-1350,540-660,560-690,8%,24-30,24-29,24-32, ,84%
180,University of Connecticut,https://www.niche.com/colleges/university-of-connecticut/admissions,48%,"34,198",1210-1390,600-680,610-710,82%,26-31,25-33,26-32, ,33%
181,Loyola University Maryland,https://www.niche.com/colleges/loyola-university-maryland/admissions,75%,"11,600",1100-1267,540-630,540-630,62%,24-29,24-30,23-27, ,22%
182,Illinois Wesleyan University,https://www.niche.com/colleges/illinois-wesleyan-university/admissions,61%,"3,697",1200-1400,590-690,600-700,10%,24-29,23-30,24-28, ,91%
183,Chapman University,https://www.niche.com/colleges/chapman-university/admissions,57%,"13,170",1190-1360,600-680,590-680,57%,25-30,25-32,24-29,9-Aug,63%
184,Dickinson College,https://www.niche.com/colleges/dickinson-college/admissions,49%,"5,941",1190-1365,590-690,600-690,55%,27-30, , , ,27%
185,Ohio Northern University,https://www.niche.com/colleges/ohio-northern-university/admissions,66%,"4,159",1130-1310,550-630,580-680,3%,22-28,21-27,23-28, ,91%
186,Lewis & Clark College,https://www.niche.com/colleges/lewis--and--clark-college/admissions,71%,"6,305",1210-1390,620-710,590-680,46%,27-31,28-34,25-30, ,48%
187,University of Cincinnati,https://www.niche.com/colleges/university-of-cincinnati/admissions,76%,"21,593",1120-1340,560-660,560-680,19%,23-28,22-29,23-28,8-Jul,91%
188,Virginia Military Institute,https://www.niche.com/colleges/virginia-military-institute/admissions,53%,"1,718",1100-1280,560-640,540-640,71%,23-28,22-28,23-27, ,39%
189,Florida Institute of Technology,https://www.niche.com/colleges/florida-institute-of-technology/admissions,63%,"8,898",1130-1320,550-640,580-680,55%,24-29,24-29,23-30, ,36%
190,University of Central Florida,https://www.niche.com/colleges/university-of-central-florida/admissions,50%,"37,693",1150-1320,580-660,570-660,60%,24-29,23-30,22-27, ,40%
191,Texas Tech University,https://www.niche.com/colleges/texas-tech-university/admissions,69%,"25,207",1070-1240,540-620,530-620,52%,22-27,21-26,21-26,8-Jun,47%
192,Illinois Institute of Technology,https://www.niche.com/colleges/illinois-institute-of-technology/admissions,54%,"4,705",1230-1410,580-680,650-730,33%,25-31,24-32,27-32, ,77%
193,Colorado State University,https://www.niche.com/colleges/colorado-state-university/admissions,83%,"23,137",1100-1300,560-650,540-650,23%,22-28,22-28,21-27, ,86%
194,New Mexico Tech,https://www.niche.com/colleges/new-mexico-tech/admissions,22%,"1,513",1190-1390,590-690,600-700,26%,23-29,22-29,24-28, ,91%
195,Milwaukee School of Engineering,https://www.niche.com/colleges/milwaukee-school-of-engineering/admissions,63%,"2,893",1150-1360,550-650,600-710,10%,25-30,24-30,26-30, ,94%
196,Calvin College,https://www.niche.com/colleges/calvin-college/admissions,83%,"3,221",1100-1330,560-660,540-670,64%,23-30,22-31,23-29, ,65%
197,Rochester Institute of Technology,https://www.niche.com/colleges/rochester-institute-of-technology/admissions,57%,"20,451",1190-1380,590-680,600-700,62%,26-32,24-31,26-31, ,38%
198,University of Oregon,https://www.niche.com/colleges/university-of-oregon/admissions,83%,"20,317",1080-1270,550-640,530-630,63%,22-28,22-29,21-27,8-Jul,51%
199,College of Wooster,https://www.niche.com/colleges/college-of-wooster/admissions,56%,"5,615",1150-1380,570-680,580-700,45%,24-30,23-32,23-28,9-Aug,63%
200,University of Wyoming,https://www.niche.com/colleges/university-of-wyoming/admissions,97%,"4,306",1040-1290,520-650,520-640,14%,22-27,21-27,21-27, ,91%
201,Drexel University,https://www.niche.com/colleges/drexel-university/admissions,79%,"28,454",1160-1360,580-670,580-690,82%,24-30,23-31,24-29, ,33%
202,Augustana University,https://www.niche.com/colleges/augustana-university/admissions,68%,"1,975",1070-1290,530-630,540-660,6%,23-29,22-30,23-28, ,94%
203,The University of Alabama in Huntsville,https://www.niche.com/colleges/the-university-of-alabama-in-huntsville/admissions,81%,"4,454",1080-1330,550-660,530-670,2%,25-31,25-33,24-29, ,96%
204,DePauw University,https://www.niche.com/colleges/depauw-university/admissions,58%,"5,173",1180-1360,560-650,550-680,56%,24-29,23-28,23-30, ,68%
205,University of Scranton,https://www.niche.com/colleges/university-of-scranton/admissions,75%,"10,002",1080-1280,550-640,530-640,65%,23-28, , , ,37%
206,St. Louis College of Pharmacy,https://www.niche.com/colleges/st-louis-college-of-pharmacy/admissions,72%,361,1120-1300,550-620,580-680,10%,24-28,24-30,25-28, ,98%
207,Baptist Health System School of Health Professions,https://www.niche.com/colleges/baptist-health-system-school-of-health-professions/admissions,, , , , , , , , , , 
208,University of Mississippi,https://www.niche.com/colleges/university-of-mississippi/admissions,84%,"17,416",1070-1290,550-640,520-650,21%,22-29,22-30,21-27, ,89%
209,University of Arizona,https://www.niche.com/colleges/university-of-arizona/admissions,84%,"33,608",983-1230,480-600,490-620,66%,21-27, , , ,52%
210,Point Loma Nazarene University,https://www.niche.com/colleges/point-loma-nazarene-university/admissions,76%,"3,007",1100-1290,560-650,540-640,68%,23-28,23-29,22-27,8-Jul,57%
211,Creighton University,https://www.niche.com/colleges/creighton-university/admissions,72%,"9,727",1070-1290,520-640,550-650,23%,25-30,24-31,24-28,9-Aug,88%
212,Fordham University,https://www.niche.com/colleges/fordham-university/admissions,46%,"45,147",1230-1410,620-700,610-710,63%,27-31,27-34,26-30,9-Aug,49%
213,DePaul University,https://www.niche.com/colleges/depaul-university/admissions,72%,"21,613",1050-1260,520-640,500-627,20%,22-27,22-29,21-27, ,86%
214,Clark University,https://www.niche.com/colleges/clark-university/admissions,57%,"8,355", , , , , , , , , 
215,Rollins College,https://www.niche.com/colleges/rollins-college/admissions,64%,"5,297",1100-1290,550-640,540-640,68%,24-29,24-31,24-28,8-Jul,53%
216,Clarkson University,https://www.niche.com/colleges/clarkson-university/admissions,66%,"7,000",1140-1330,560-650,580-680,86%,24-29,22-28,25-29, ,38%
217,Southwestern University,https://www.niche.com/colleges/southwestern-university/admissions,43%,"4,133",1110-1320,570-670,540-650,77%,23-29,22-30,22-27, ,56%
218,Marquette University,https://www.niche.com/colleges/marquette-university/admissions,89%,"12,957",1130-1310,570-660,560-650,17%,24-29,24-30,24-28,9-Aug,89%
219,University of Texas - Dallas,https://www.niche.com/colleges/university-of-texas---dallas/admissions,76%,"11,791",1220-1430,600-700,620-730,73%,26-32,25-34,26-32,8-Jul,45%
220,Ouachita Baptist University,https://www.niche.com/colleges/ouachita-baptist-university/admissions,71%,"1,786",1020-1260,540-640,480-620,18%,21-28,21-30,20-27, ,91%
221,University of Evansville,https://www.niche.com/colleges/university-of-evansville/admissions,70%,"3,825",1020-1260,520-610,500-640,64%,22-29,22-30,22-28,8-Jul,65%
222,Gonzaga University,https://www.niche.com/colleges/gonzaga-university/admissions,65%,"7,613",1180-1350,590-670,590-680,67%,26-30,25-32,25-29, ,57%
223,Fairfield University,https://www.niche.com/colleges/fairfield-university/admissions,61%,"11,218", , , , ,25-29, , , , 
224,Providence College,https://www.niche.com/colleges/providence-college/admissions,52%,"11,251",1160-1330,580-660,580-670,46%,26-30,25-32,24-29, ,24%
225,Liberty University,https://www.niche.com/colleges/liberty-university/admissions,30%,"32,854",1040-1240,530-640,510-600,48%,21-27,21-29,19-26, ,35%
226,Butler University,https://www.niche.com/colleges/butler-university/admissions,65%,"14,635",1150-1320,580-660,570-660,55%,25-30,24-31,24-29,9-Aug,77%
227,Rutgers University - Newark,https://www.niche.com/colleges/rutgers-university---newark/admissions,64%,"13,435",1010-1170,500-580,510-590,93%, , , , ,0%
228,St. Lawrence University,https://www.niche.com/colleges/st-lawrence-university/admissions,48%,"5,866",1200-1360,600-680,600-680,40%,26-30, , , ,23%
229,Rhodes College,https://www.niche.com/colleges/rhodes-college/admissions,51%,"4,733",1220-1410,620-720,600-690,30%,27-32,27-34,25-30,8-Jul,79%
230,University of Vermont,https://www.niche.com/colleges/university-of-vermont/admissions,67%,"21,991",1180-1350,600-680,580-670,76%,25-30,25-32,25-29,9-Aug,39%
231,Keiser University - Fort Lauderdale,https://www.niche.com/colleges/keiser-university---fort-lauderdale/admissions,100%,"7,022", , , , , , , , , 
232,Louisiana State University,https://www.niche.com/colleges/louisiana-state-university/admissions,74%,"17,907",1060-1290,530-640,530-650,8%,23-28,23-31,22-27, ,92%
233,Allegheny College,https://www.niche.com/colleges/allegheny-college/admissions,68%,"5,114",1140-1320,580-670,560-650,50%,23-29,22-30,23-27, ,34%
234,Hendrix College,https://www.niche.com/colleges/hendrix-college/admissions,80%,"1,465",1100-1410,560-710,540-700,22%,24-31,25-34,24-29, ,91%
235,Union University,https://www.niche.com/colleges/union-university/admissions,60%,"2,634",1070-1320,560-670,510-650,13%,23-29,23-32,21-27, ,93%
236,Hobart and William Smith Colleges,https://www.niche.com/colleges/hobart-and-william-smith-colleges/admissions,64%,"4,407",1150-1330,580-670,570-660,39%,25-30,24-31,24-28, ,30%
237,Augustana College - Illinois,https://www.niche.com/colleges/augustana-college---illinois/admissions,59%,"6,750", , , , , , , , , 
238,Manhattan College,https://www.niche.com/colleges/manhattan-college/admissions,75%,"7,622",1050-1240,530-620,520-620,73%,23-28,23-30,22-28, ,27%
239,University of Houston,https://www.niche.com/colleges/university-of-houston/admissions,61%,"20,768",1110-1280,560-640,550-640,84%,23-27,21-27,22-27, ,42%
240,Oregon State University,https://www.niche.com/colleges/oregon-state-university/admissions,79%,"14,888",1070-1300,540-650,530-650,68%,22-28,21-28,21-28,8-Jul,47%
241,Connecticut College,https://www.niche.com/colleges/connecticut-college/admissions,38%,"5,434",1270-1460,630-740,640-720, ,30-33, , , , 
242,Ohio University,https://www.niche.com/colleges/ohio-university/admissions,74%,"26,263",1080-1260,550-640,530-620,17%,22-26,21-26,20-26,8-Jul,93%
243,Hope College,https://www.niche.com/colleges/hope-college/admissions,74%,"4,377",1090-1320,550-660,540-660,56%,24-29,23-30,23-28, ,67%
244,John Carroll University,https://www.niche.com/colleges/john-carroll-university/admissions,85%,"3,840",1000-1140,510-570,490-570,35%,22-27,21-28,21-27,8-Jul,83%
245,Appalachian State University,https://www.niche.com/colleges/appalachian-state-university/admissions,70%,"14,009",1100-1270,560-640,540-630,60%,23-27,23-28,23-27,8-Jun,49%
246,University of Tennessee,https://www.niche.com/colleges/university-of-tennessee/admissions,77%,"18,872",1140-1310,580-660,560-650,17%,24-30,24-32,24-28, ,99%
247,Concordia College,https://www.niche.com/colleges/concordia-college/admissions,62%,"4,539",1060-1300,500-660,550-650,6%,22-28,21-28,22-27,8-Jun,95%
248,California State University - Long Beach,https://www.niche.com/colleges/california-state-university---long-beach/admissions,28%,"63,048",1020-1230,510-610,510-620,93%,20-26,19-26,19-27, ,31%
249,Agnes Scott College,https://www.niche.com/colleges/agnes-scott-college/admissions,66%,"1,534", , , , , , , , , 
250,Wofford College,https://www.niche.com/colleges/wofford-college/admissions,69%,"3,101",1120-1310,570-660,550-650,41%,29-30,23-30,23-28,8-Jul,59%
251,South Dakota School of Mines & Technology,https://www.niche.com/colleges/south-dakota-school-of-mines--and--technology/admissions,83%,"1,445",1150-1350,560-660,590-690,15%,24-29,22-29,25-29, ,91%
252,Taylor University,https://www.niche.com/colleges/taylor-university/admissions,87%,"1,673",1040-1290,530-650,520-640,60%,22-29,22-31,22-28,9-Aug,70%
253,Samford University,https://www.niche.com/colleges/samford-university/admissions,83%,"3,808",1080-1280,550-650,530-630,33%,23-29,24-31,22-27, ,86%
254,Spelman College,https://www.niche.com/colleges/spelman-college/admissions,40%,"8,344",1070-1220,550-620,520-590,64%,22-26,21-27,19-25, ,61%
255,"Stony Brook University, SUNY",https://www.niche.com/colleges/stony-brook-university-suny/admissions,42%,"35,313",1210-1410,590-680,620-730,77%,26-31,24-32,26-32,9-Jul,38%
256,Nebraska Wesleyan University,https://www.niche.com/colleges/nebraska-wesleyan-university/admissions,71%,"1,910",1040-1300,530-670,510-630,5%,22-28,20-27,21-27, ,99%
257,Millsaps College,https://www.niche.com/colleges/millsaps-college/admissions,49%,"4,276",1110-1320,560-660,550-660,20%,22-28,23-30,20-26, ,86%
258,San Diego State University,https://www.niche.com/colleges/san-diego-state-university/admissions,35%,"60,910",1090-1290,550-640,540-650,79%,23-28,22-28,22-28, ,52%
259,University of San Francisco,https://www.niche.com/colleges/university-of-san-francisco/admissions,66%,"16,313",1100-1290,560-640,540-650,71%,22-28,22-29,22-27,9-Aug,48%
260,Loyola University Chicago,https://www.niche.com/colleges/loyola-university-chicago/admissions,71%,"23,571",1120-1310,570-660,550-650,23%,24-29,24-31,23-28,9-Aug,86%
261,University of Southern Mississippi,https://www.niche.com/colleges/university-of-southern-mississippi/admissions,98%,"6,372",940-1190,430-540,510-650,0%,19-26,19-27,17-24, ,99%
262,Biola University,https://www.niche.com/colleges/biola-university/admissions,72%,"3,926",1060-1300,540-660,520-640,75%,21-28,22-29,20-27, ,43%
263,Cedarville University,https://www.niche.com/colleges/cedarville-university/admissions,71%,"4,039",1130-1350,580-680,550-670,50%,23-29,24-31,23-28, ,77%
264,University of Wisconsin - La Crosse,https://www.niche.com/colleges/university-of-wisconsin---la-crosse/admissions,73%,"6,723", , , ,0%,22-26,21-26,22-27,8-Jul,99%
265,LeTourneau University,https://www.niche.com/colleges/letourneau-university/admissions,47%,"1,780",1060-1310,530-650,530-660,60%,21-28,20-28,22-27, ,52%
266,University of the Pacific,https://www.niche.com/colleges/university-of-the-pacific/admissions,65%,"13,064",1070-1330,540-650,530-680,78%,22-30,21-31,22-30, ,45%
267,Bradley University,https://www.niche.com/colleges/bradley-university/admissions,71%,"10,232",1080-1290,550-640,530-650,11%,22-28,22-28,22-27,8-Jul,94%
268,Embry-Riddle Aeronautical University - Daytona Beach,https://www.niche.com/colleges/embry-riddle-aeronautical-university---daytona-beach/admissions,75%,"4,564",1080-1310,540-650,540-660,68%,22-28,21-29,22-28, ,51%
269,CUNY Baruch College,https://www.niche.com/colleges/cuny-baruch-college/admissions,29%,"21,432",1190-1350,580-660,610-690,71%, , , , ,0%
270,DigiPen Institute of Technology,https://www.niche.com/colleges/digipen-institute-of-technology/admissions,54%,750,1150-1360,580-680,570-680,67%,25-30,24-31,24-29, ,37%
271,West Virginia University,https://www.niche.com/colleges/west-virginia-university/admissions,72%,"20,594",1020-1210,510-610,510-600,31%,21-27,21-27,19-26, ,64%
272,Florida International University,https://www.niche.com/colleges/florida-international-university/admissions,54%,"19,757",1080-1240,550-630,530-610,81%,22-27,21-27,21-25,8-Jul,33%
273,University of Kentucky,https://www.niche.com/colleges/university-of-kentucky/admissions,96%,"18,925",1080-1330,550-660,530-670,17%,22-28,22-30,21-28,8-Jul,92%
274,Coe College,https://www.niche.com/colleges/coe-college/admissions,56%,"7,002",1070-1330,530-650,540-680,10%,22-28,21-28,21-27, ,90%
275,Duquesne University,https://www.niche.com/colleges/duquesne-university/admissions,72%,"7,336",1120-1270,570-640,550-630,55%,24-29,24-30,23-27, ,29%
276,Bob Jones University,https://www.niche.com/colleges/bob-jones-university/admissions,86%,"1,062",960-1180,480-620,480-570,18%,20-27,21-29,18-25,8-Jun,92%
277,Albany College of Pharmacy & Health Sciences,https://www.niche.com/colleges/albany-college-of-pharmacy--and--health-sciences/admissions,79%,"1,366",1110-1270,550-630,560-640,92%,23-28, , , ,33%
278,George Mason University,https://www.niche.com/colleges/george-mason-university/admissions,81%,"18,993",1100-1290,560-650,540-640,70%,24-30,24-31,23-28, ,13%
279,Rockhurst University,https://www.niche.com/colleges/rockhurst-university/admissions,72%,"3,115",1050-1230,510-590,540-640,4%,22-27,21-29,20-27, ,98%
280,University of California - Santa Cruz,https://www.niche.com/colleges/university-of-california---santa-cruz/admissions,51%,"52,969",1160-1340,580-660,580-680,80%,26-31,24-31,25-30, ,51%
281,St. Norbert College,https://www.niche.com/colleges/st-norbert-college/admissions,79%,"3,860",1110-1230,570-630,540-600,2%,22-27,21-27,21-26,8-Jul,96%
282,St. John Fisher College,https://www.niche.com/colleges/st-john-fisher-college/admissions,65%,"4,432",1060-1230,530-610,530-620,91%,22-26,20-25,21-26, ,45%
283,Austin College,https://www.niche.com/colleges/austin-college/admissions,52%,"3,545",1160-1360,590-680,570-680,39%,23-29, , , ,36%
284,Muhlenberg College,https://www.niche.com/colleges/muhlenberg-college/admissions,48%,"4,636",1140-1340,580-680,560-660,51%,25-30,25-32,24-28, ,39%
285,University of Illinois at Chicago,https://www.niche.com/colleges/university-of-illinois-at-chicago/admissions,77%,"18,768",1080-1330,530-650,550-680,8%,20-26,20-26,20-26, ,93%
286,Whitworth University,https://www.niche.com/colleges/whitworth-university/admissions,89%,"3,166",1090-1310,550-660,540-650,71%,23-29,22-30,23-29, ,36%
287,Harding University,https://www.niche.com/colleges/harding-university/admissions,72%,"2,023",1050-1280,530-650,520-630,28%,22-28,22-31,21-27, ,90%
288,Elon University,https://www.niche.com/colleges/elon-university/admissions,67%,"9,623",1140-1330,580-670,560-660,60%,25-29,25-31,24-28, ,58%
289,Saint Joseph's University,https://www.niche.com/colleges/saint-josephs-university/admissions,77%,"8,972",1110-1290,560-640,550-650,66%,23-28,22-27,23-30, ,28%
290,Marist College,https://www.niche.com/colleges/marist-college/admissions,43%,"11,376", , , , ,26-30, , , , 
291,Juniata College,https://www.niche.com/colleges/juniata-college/admissions,71%,"2,289", , ,540-650, ,23-30,23-30,22-28, , 
292,University of Colorado - Denver,https://www.niche.com/colleges/university-of-colorado---denver/admissions,65%,"11,373",1060-1280,540-640,520-640,12%,21-27,20-26,19-26, ,91%
293,Berea College,https://www.niche.com/colleges/berea-college/admissions,35%,"1,710",970-1200,480-590,490-610,10%,22-27,21-27,20-25, ,88%
294,Embry-Riddle Aeronautical University - Prescott,https://www.niche.com/colleges/embry-riddle-aeronautical-university---prescott/admissions,77%,"2,168",1130-1350,560-670,570-680,58%,23-29,22-29,24-28, ,58%
295,University of Louisville,https://www.niche.com/colleges/university-of-louisville/admissions,75%,"10,987",1070-1290,540-640,530-650,14%,22-28,22-30,21-28,8-Jul,100%
296,University of Idaho,https://www.niche.com/colleges/university-of-idaho/admissions,73%,"7,087",1010-1230,510-620,500-610,98%,20-26,19-26,19-26,8-Jun,41%
297,Seattle Pacific University,https://www.niche.com/colleges/seattle-pacific-university/admissions,91%,"3,692",1060-1280,540-650,520-630,78%,21-27,20-26,21-29, ,39%
298,Andrews University,https://www.niche.com/colleges/andrews-university/admissions,58%,"1,554",1040-1320,510-660,530-660,40%,21-29,21-30,19-28,8-Jun,75%
299,University of New Hampshire,https://www.niche.com/colleges/university-of-new-hampshire/admissions,77%,"19,966",1070-1260,540-630,530-630,91%,23-28,22-28,22-27, ,20%
300,College of the Ozarks,https://www.niche.com/colleges/college-of-the-ozarks/admissions,13%,"3,250",1090-1240,560-620,530-620,4%,21-26,21-27,20-25, ,98%
301,Seton Hall University,https://www.niche.com/colleges/seton-hall-university/admissions,73%,"16,719",1140-1280,570-640,570-640,79%,24-28,23-29,23-27, ,32%
302,University of Puget Sound,https://www.niche.com/colleges/university-of-puget-sound/admissions,84%,"5,958",1110-1330,560-680,550-650,71%,25-30,25-31,24-29, ,50%
303,Kettering University,https://www.niche.com/colleges/kettering-university/admissions,70%,"1,931",1190-1350,580-660,610-690,75%,24-29,23-29,26-30, ,59%
304,Mercer University,https://www.niche.com/colleges/mercer-university/admissions,73%,"4,749",1170-1340,590-670,580-670,46%,25-30,24-28,24-31, ,53%
305,Pacific Lutheran University,https://www.niche.com/colleges/pacific-lutheran-university/admissions,75%,"3,629",1040-1270,520-640,520-630,84%,21-27,21-27,21-27, ,29%
306,Kalamazoo College,https://www.niche.com/colleges/kalamazoo-college/admissions,73%,"3,434",1180-1380,600-690,580-690,39%,26-30,25-33,25-30,11-Oct,42%
307,Christopher Newport University,https://www.niche.com/colleges/christopher-newport-university/admissions,72%,"6,948",1060-1250,530-630,530-620,72%,23-28, , , ,35%
308,Truman State University,https://www.niche.com/colleges/truman-state-university/admissions,67%,"5,263",1180-1420,600-700,580-720,5%,24-30,24-32,24-28, ,95%
309,Loyola University New Orleans,https://www.niche.com/colleges/loyola-university-new-orleans/admissions,69%,"5,112",1080-1270,560-650,520-620,30%,22-28,23-31,20-26, ,70%
310,Louisiana Tech University,https://www.niche.com/colleges/louisiana-tech-university/admissions,65%,"6,952",870-1100,440-540,430-560,3%,22-27,22-29,20-26, ,98%
311,Seattle University,https://www.niche.com/colleges/seattle-university/admissions,74%,"8,576",1130-1330,570-670,560-660,50%,24-29,23-31,24-28,10-Aug,49%
312,College of Saint Benedict,https://www.niche.com/colleges/college-of-saint-benedict/admissions,81%,"2,003",1010-1220,530-630,480-590,7%,22-28,21-29,22-27,8-Jul,95%
313,Willamette University,https://www.niche.com/colleges/willamette-university/admissions,89%,"4,484",1100-1330,550-670,550-660,70%,25-30,24-32,24-29,10-Aug,54%
314,University of Dallas,https://www.niche.com/colleges/university-of-dallas/admissions,47%,"3,857",1140-1370,590-700,550-670,65%,24-31,24-33,23-28,9-Jul,57%
315,Catholic University of America,https://www.niche.com/colleges/catholic-university-of-america/admissions,83%,"6,073",1020-1230,510-620,510-610,85%,22-28, , , ,30%
316,Nova Southeastern University,https://www.niche.com/colleges/nova-southeastern-university/admissions,58%,"7,779",1080-1280,550-640,530-640,69%,23-28,22-30,22-28, ,49%
317,Valparaiso University,https://www.niche.com/colleges/valparaiso-university/admissions,84%,"7,954",1060-1270,530-630,530-640,46%,23-29,22-30,23-28, ,70%
318,University of Missouri - Kansas City,https://www.niche.com/colleges/university-of-missouri---kansas-city/admissions,64%,"5,065",1100-1420,570-700,540-720,3%,21-28,20-29,20-27, ,95%
319,The New School,https://www.niche.com/colleges/the-new-school/admissions,60%,"9,056",1100-1310,520-640,510-640,34%,23-28,23-29,22-28, ,15%
320,Goshen College,https://www.niche.com/colleges/goshen-college/admissions,64%,"1,210",980-1230,490-620,490-610,76%,19-28,19-27,18-27, ,31%
321,Oral Roberts University,https://www.niche.com/colleges/oral-roberts-university/admissions,93%,"2,433",990-1210,500-620,490-590,26%,20-26,20-27,18-25, ,74%
322,CUNY John Jay College of Criminal Justice,https://www.niche.com/colleges/cuny-john-jay-college-of-criminal-justice/admissions,39%,"15,287",980-1130,490-570,490-560,83%, , , , ,0%
323,University of Northern Iowa,https://www.niche.com/colleges/university-of-northern-iowa/admissions,81%,"5,494",1080-1360,540-670,540-690,1%,21-26,20-26,18-25,8-Jun,99%
324,Ithaca College,https://www.niche.com/colleges/ithaca-college/admissions,71%,"14,152", , ,530-640, ,23-28,23-29,23-28,9-Jul, 
325,University of Maryland - Baltimore County,https://www.niche.com/colleges/university-of-maryland---baltimore-county/admissions,60%,"11,201",1140-1360,550-670,590-690,81%,24-29,23-29,23-30, ,27%
326,St. Mary's College of Maryland,https://www.niche.com/colleges/st-marys-college-of-maryland/admissions,82%,"1,655",1070-1290,540-650,530-640,80%,22-28,20-27,22-31, ,31%
327,North Dakota State University,https://www.niche.com/colleges/north-dakota-state-university/admissions,92%,"6,424",1060-1330,520-660,540-670,2%,21-26,19-25,21-27, ,97%
328,Adelphi University,https://www.niche.com/colleges/adelphi-university/admissions,73%,"11,851",1060-1240,530-620,530-620,68%,22-27,21-27,21-27,8-Jul,26%
329,Westmont College,https://www.niche.com/colleges/westmont-college/admissions,81%,"1,818",1060-1280,580-700,550-680,71%,23-30,23-33,23-28,10-Jul,55%
330,Xavier University,https://www.niche.com/colleges/xavier-university/admissions,74%,"13,006",1060-1240,540-620,520-620,34%,22-28,22-29,21-27, ,77%
331,New Jersey Institute of Technology,https://www.niche.com/colleges/new-jersey-institute-of-technology/admissions,61%,"7,254",1190-1370,580-670,610-700,84%,24-30,22-31,25-31, ,26%
332,University of Louisiana - Lafayette,https://www.niche.com/colleges/university-of-louisiana---lafayette/admissions,51%,"10,436",820-1180,310-580,510-600,2%,21-26,22-28,20-25, ,98%
333,University of Massachusetts - Lowell,https://www.niche.com/colleges/university-of-massachusetts---lowell/admissions,69%,"11,181",1130-1310,560-650,570-660,83%,24-29,22-29,24-28, ,14%
