,name,link,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT,ACT Range,ACT English,ACT Math,ACT Writing,Students Submitting ACT
334,St. Mary's University - Texas,https://www.niche.com/colleges/st-marys-university---texas/admissions,80%,"4,468",1040-1230,520-620,520-610,73%,20-26,19-25,18-25,8-Jun,45%
335,Maryville University,https://www.niche.com/colleges/maryville-university/admissions,92%,"2,241",980-1260,480-620,500-650,7%,21-27,20-27,19-26, ,85%
336,John Brown University,https://www.niche.com/colleges/john-brown-university/admissions,76%,"1,198",1080-1310,550-680,530-630,19%,24-29,23-32,22-27,8-Jun,87%
337,Centre College,https://www.niche.com/colleges/centre-college/admissions,76%,"2,454",1170-1410,590-680,580-730,20%,26-31,26-34,25-31,9-Aug,81%
338,Azusa Pacific University,https://www.niche.com/colleges/azusa-pacific-university/admissions,60%,"8,939",990-1220,480-610,510-610,78%,21-27,21-28,20-27, ,42%
339,MidAmerica Nazarene University,https://www.niche.com/colleges/midamerica-nazarene-university/admissions,66%,957,910-1200,440-600,470-600,13%,18-24,17-25,17-25, ,90%
340,Bryant University,https://www.niche.com/colleges/bryant-university/admissions,73%,"7,242",1050-1220,500-590,535-630,72%,22-26, , , ,13%
341,Emerson College,https://www.niche.com/colleges/emerson-college/admissions,46%,"10,360",1200-1360,620-700,580-660,69%,26-30,26-33,23-28,10-Aug,41%
342,Regis University,https://www.niche.com/colleges/regis-university/admissions,60%,"7,388",1070-1270,550-640,520-620,24%,20-26,21-26,19-26, ,85%
343,University of Michigan - Dearborn,https://www.niche.com/colleges/university-of-michigan---dearborn/admissions,64%,"5,731",1100-1300,530-640,530-650,80%,22-27,22-29,22-28, ,33%
344,Baldwin Wallace University,https://www.niche.com/colleges/baldwin-wallace-university/admissions,78%,"3,576",950-1200,470-590,480-600,34%,21-26,21-26,20-26, ,78%
345,Dordt College,https://www.niche.com/colleges/dordt-college/admissions,72%,"1,443",1050-1320,530-660,520-660,15%,22-28,21-28,21-27, ,85%
346,Georgia Southern University,https://www.niche.com/colleges/georgia-southern-university/admissions,68%,"9,202",1100-1230,560-630,540-600,65%,22-26,21-26,20-25,8-Jun,57%
347,Citadel Military College of South Carolina,https://www.niche.com/colleges/citadel-military-college-of-south-carolina/admissions,81%,"2,642",1020-1220,510-610,510-610,44%,20-25,19-25,19-25, ,49%
348,Martin Luther College,https://www.niche.com/colleges/martin-luther-college/admissions,71%,296,1090-1280,570-640,520-640,7%,21-28,21-29,21-27,8-Jun,93%
349,University of North Carolina at Asheville,https://www.niche.com/colleges/university-of-north-carolina-at-asheville/admissions,80%,"3,437",1080-1260,550-650,530-610,52%,22-28,22-29,21-26,8-Jun,46%
350,Western Michigan University,https://www.niche.com/colleges/western-michigan-university/admissions,82%,"14,263",960-1190,490-600,470-590,69%,20-26,20-26,18-26, ,45%
351,Virginia Commonwealth University,https://www.niche.com/colleges/virginia-commonwealth-university/admissions,84%,"15,248",1070-1260,550-640,520-620,85%,21-27,21-28,19-26, ,25%
352,University of North Carolina - Wilmington,https://www.niche.com/colleges/university-of-north-carolina---wilmington/admissions,67%,"11,677",1180-1310,600-660,580-650,34%,23-27,22-27,21-26,8-Jun,73%
353,Texas State University,https://www.niche.com/colleges/texas-state-university/admissions,73%,"24,277",1020-1200,510-610,510-590,69%,20-26,19-25,19-25,8-Jun,31%
354,University of Wisconsin - Eau Claire,https://www.niche.com/colleges/university-of-wisconsin---eau-claire/admissions,76%,"6,781", , , ,0%,21-26,21-26,21-26,8-Jul,99%
355,Howard University,https://www.niche.com/colleges/howard-university/admissions,41%,"16,815",1090-1290,550-650,540-640,65%,22-28,22-30,21-27, ,49%
356,Knox College,https://www.niche.com/colleges/knox-college/admissions,72%,"3,231", , , , , , , , , 
357,"University at Albany, SUNY",https://www.niche.com/colleges/university-at-albany-suny/admissions,54%,"24,887",1080-1260,550-650,530-610,86%,22-26, , , ,25%
358,Northwest Nazarene University,https://www.niche.com/colleges/northwest-nazarene-university/admissions,73%,967,1030-1230,530-630,500-600,78%,20-27,21-26,19-27, ,53%
359,University of La Verne,https://www.niche.com/colleges/university-of-la-verne/admissions,48%,"8,012",1020-1190,510-600,510-590,89%,19-25,18-24,18-25, ,22%
360,University of North Texas,https://www.niche.com/colleges/university-of-north-texas/admissions,72%,"18,650",1060-1260,540-640,520-620,65%,21-27,21-27,19-26, ,34%
361,University of California - Riverside,https://www.niche.com/colleges/university-of-california---riverside/admissions,57%,"43,682",1090-1300,550-640,540-660,91%,23-29,22-29,22-28, ,51%
362,Eckerd College,https://www.niche.com/colleges/eckerd-college/admissions,73%,"4,525",1060-1260,540-650,520-610,54%,23-29,22-29,20-27, ,59%
363,Utah State University,https://www.niche.com/colleges/utah-state-university/admissions,89%,"15,555",1000-1220,490-600,510-620,3%,21-27,20-28,19-27, ,91%
364,Saint Michael's College,https://www.niche.com/colleges/saint-michaels-college/admissions,85%,"3,094",1060-1290,530-630,520-620,63%,23-28,22-27,22-27, ,20%
365,Stanbridge University,https://www.niche.com/colleges/stanbridge-university/admissions,58%,"1,068", , , , , , , , , 
366,University of the Sciences,https://www.niche.com/colleges/university-of-the-sciences/admissions,61%,"3,601",1130-1300,560-640,570-660,87%,24-29,23-29,24-29, ,28%
367,University of St. Thomas - Texas,https://www.niche.com/colleges/university-of-st-thomas---texas/admissions,81%,"1,060",1070-1240,540-620,530-620,70%,21-27,21-26,19-27,8-Jul,27%
368,University of North Carolina at Charlotte,https://www.niche.com/colleges/university-of-north-carolina-at-charlotte/admissions,66%,"16,696",1110-1270,560-630,550-640,62%,22-26,20-25,21-26,8-Jun,70%
369,East Carolina University,https://www.niche.com/colleges/east-carolina-university/admissions,79%,"15,860",1030-1180,520-590,510-590,49%,20-24,19-24,18-24,8-Jun,50%
370,California Lutheran University,https://www.niche.com/colleges/california-lutheran-university/admissions,73%,"5,251",1060-1230,540-620,520-610,70%,21-27,21-28,20-27, ,41%
371,Ball State University,https://www.niche.com/colleges/ball-state-university/admissions,62%,"24,191",1080-1240,550-630,530-610,59%,20-24,19-24,18-24, ,40%
372,Rutgers University - Camden,https://www.niche.com/colleges/rutgers-university---camden/admissions,69%,"11,338",1000-1180,500-590,500-590,94%, , , , ,0%
373,University of Minnesota - Morris,https://www.niche.com/colleges/university-of-minnesota---morris/admissions,64%,"3,211",1150-1390,560-680,590-710,8%,22-28,20-28,21-27,8-Jul,96%
374,Mississippi College,https://www.niche.com/colleges/mississippi-college/admissions,39%,"2,918",1070-1290,550-660,520-630,12%,22-29,22-32,20-27, ,94%
375,University of North Florida,https://www.niche.com/colleges/university-of-north-florida/admissions,59%,"14,305",1090-1280,560-650,530-630,53%,21-26,21-26,19-25,8-Jul,47%
376,Indiana Wesleyan University,https://www.niche.com/colleges/indiana-wesleyan-university/admissions,72%,"3,796",1010-1220,510-620,500-600,68%,21-26,21-28,19-26,9-Jul,59%
377,Fashion Institute of Technology,https://www.niche.com/colleges/fashion-institute-of-technology/admissions,47%,"4,739", , , , , , , , , 
378,Hanover College,https://www.niche.com/colleges/hanover-college/admissions,84%,"2,757",1070-1260,540-640,530-620,45%,22-27,21-28,20-27,8-Jul,55%
379,Arizona State University - Downtown Phoenix Campus,https://www.niche.com/colleges/arizona-state-university---downtown-phoenix-campus/admissions,77%,"5,340",1070-1260,540-640,530-620,48%,21-26,20-27,20-26, ,71%
380,Dallas Baptist University,https://www.niche.com/colleges/dallas-baptist-university/admissions,39%,"3,770",1090-1250,560-640,530-610,44%,19-24, , , ,56%
381,Stonehill College,https://www.niche.com/colleges/stonehill-college/admissions,72%,"6,260",1030-1230,520-620,530-630,84%,24-27, , , ,19%
382,Loras College,https://www.niche.com/colleges/loras-college/admissions,95%,"1,161",1030-1170,500-580,530-600,2%,20-26,20-25,19-25, ,96%
383,Illinois State University,https://www.niche.com/colleges/illinois-state-university/admissions,89%,"11,592", , , ,0%,21-26,20-26,19-26, ,98%
384,William Carey University,https://www.niche.com/colleges/william-carey-university/admissions,49%,891,990-1160,500-560,490-600,14%,21-28,21-30,18-25, ,86%
385,Berklee College of Music,https://www.niche.com/colleges/berklee-college-of-music/admissions,53%,"6,222", , , , , , , , , 
386,Franciscan Missionaries of Our Lady University,https://www.niche.com/colleges/franciscan-missionaries-of-our-lady-university/admissions,48%,320, , , ,0%,20-23,19-24,17-23, ,92%
387,University of Nevada - Reno,https://www.niche.com/colleges/university-of-nevada---reno/admissions,88%,"9,721",1070-1260,540-630,530-630,52%,21-26,20-26,19-26,8-Jul,81%
388,College of Charleston,https://www.niche.com/colleges/college-of-charleston/admissions,80%,"11,900",1070-1230,550-630,520-600,49%,22-27,22-28,20-26, ,54%
389,Jefferson College of Health Sciences,https://www.niche.com/colleges/jefferson-college-of-health-sciences/admissions,39%,510,930-1160,480-600,450-560,96%,19-25, , , ,29%
390,Pittsburg State University,https://www.niche.com/colleges/pittsburg-state-university/admissions,87%,"2,486", , , ,0%,19-25,18-25,18-25, ,94%
391,Oregon Institute of Technology,https://www.niche.com/colleges/oregon-institute-of-technology/admissions,61%,"1,314",1040-1230,520-620,520-610,75%,21-26,19-25,21-26, ,17%
392,CUNY Brooklyn College,https://www.niche.com/colleges/cuny-brooklyn-college/admissions,40%,"20,642",1050-1210,520-600,530-610,81%, , , , ,0%
393,University of Washington - Tacoma,https://www.niche.com/colleges/university-of-washington---tacoma/admissions,84%,"1,982",980-1190,490-600,490-590,92%,18-24,16-23,17-25,8-Jun,13%
394,University of North Dakota,https://www.niche.com/colleges/university-of-north-dakota/admissions,83%,"5,230",1050-1270,530-630,520-640,1%,21-26,20-25,21-27, ,93%
395,California State University - Fullerton,https://www.niche.com/colleges/california-state-university---fullerton/admissions,46%,"45,808",1020-1180,510-590,510-590,92%,19-24,18-24,18-25, ,38%
396,Winthrop University,https://www.niche.com/colleges/winthrop-university/admissions,73%,"4,573",980-1200,500-620,480-580,28%,19-25, , , ,72%
397,The Master's University,https://www.niche.com/colleges/the-masters-university/admissions,66%,617,1030-1240,520-640,510-600,62%,20-23,19-23,16-24, ,40%
398,CUNY Queens College,https://www.niche.com/colleges/cuny-queens-college/admissions,43%,"18,180",1060-1220,520-600,540-620,70%, , , , ,0%
399,Wittenberg University,https://www.niche.com/colleges/wittenberg-university/admissions,72%,"7,249",1040-1240,500-620,500-620,23%,23-28,22-29,22-28, ,55%
400,Gannon University,https://www.niche.com/colleges/gannon-university/admissions,80%,"4,642",990-1220,500-610,490-610,80%,20-26,20-26,19-26, ,42%
401,Saint Mary's College - Indiana,https://www.niche.com/colleges/saint-marys-college---indiana/admissions,78%,"1,830",1030-1250,530-630,500-620,54%,23-29,23-30,22-28, ,67%
402,California State University - Chico,https://www.niche.com/colleges/california-state-university---chico/admissions,68%,"23,305",990-1170,500-590,490-580,85%,19-25,17-24,18-25, ,42%
403,Wayne State University,https://www.niche.com/colleges/wayne-state-university/admissions,67%,"15,331",1000-1210,500-610,500-600,80%,21-28,21-29,19-27, ,38%
404,University of Memphis,https://www.niche.com/colleges/university-of-memphis/admissions,85%,"13,741",1010-1230,510-630,500-600,4%,19-25,20-26,18-25,7-Jun,95%
405,St. Bonaventure University,https://www.niche.com/colleges/st-bonaventure-university/admissions,71%,"2,986",1020-1220,510-610,510-610,86%,21-27,20-26,19-27,8-Jul,43%
406,Lake Forest College,https://www.niche.com/colleges/lake-forest-college/admissions,53%,"4,303",1020-1240, , ,23%, , , , ,78%
407,Beloit College,https://www.niche.com/colleges/beloit-college/admissions,54%,"5,400",1065-1370,520-680,545-690,25%,24-30,24-31,23-28, ,45%
408,Washington & Jefferson College,https://www.niche.com/colleges/washington--and--jefferson-college/admissions,48%,"5,358", , , , , , , , , 
409,Eastern Mennonite University,https://www.niche.com/colleges/eastern-mennonite-university/admissions,54%,"1,232",990-1170,500-590,490-580,84%,20-28,18-29,19-28,8-Jun,25%
410,SUNY Maritime College,https://www.niche.com/colleges/suny-maritime-college/admissions,69%,"1,272",1100-1250,550-620,550-630,83%,22-26, , , ,40%
411,CUNY City College of New York,https://www.niche.com/colleges/cuny-city-college-of-new-york/admissions,46%,"21,207",1040-1240,510-610,530-630,78%, , , , ,0%
412,Earlham College,https://www.niche.com/colleges/earlham-college/admissions,52%,"2,799",1190-1400,610-700,580-700,44%,25-30,25-30,24-27, ,47%
413,University of Nebraska at Kearney,https://www.niche.com/colleges/university-of-nebraska-at-kearney/admissions,82%,"5,911",1040-1140,510-560,520-590,1%,19-25,18-25,18-25, ,94%
414,Western Washington University,https://www.niche.com/colleges/western-washington-university/admissions,85%,"11,244",1080-1280,550-650,530-630,82%,22-28,22-29,20-27,8-Jul,31%
415,Quinnipiac University,https://www.niche.com/colleges/quinnipiac-university/admissions,74%,"22,071",1080-1260,550-630,530-630,71%,23-27,22-28,22-27, ,31%
416,University of North Alabama,https://www.niche.com/colleges/university-of-north-alabama/admissions,70%,"3,969",970-1190,520-610,460-580,2%,19-25,19-25,17-24, ,97%
417,Simmons College,https://www.niche.com/colleges/simmons-college/admissions,60%,"3,483",1130-1310,580-660,550-650,86%,24-29,23-30,23-27, ,14%
418,Albion College,https://www.niche.com/colleges/albion-college/admissions,71%,"3,884",1010-1200,510-610,500-590,65%,20-26,20-26,19-25,8-Jul,53%
419,Bellarmine University,https://www.niche.com/colleges/bellarmine-university/admissions,89%,"5,692",1050-1210,530-610,520-600,16%,22-27,21-27,23-29, ,93%
420,Salisbury University,https://www.niche.com/colleges/salisbury-university/admissions,65%,"8,171",1080-1230,530-610,540-620,58%,22-26,21-26,21-26,8-Jun,17%
421,Roanoke College,https://www.niche.com/colleges/roanoke-college/admissions,67%,"5,117",1040-1230,530-630,510-600,81%,22-27,21-28,20-25,8-Jun,32%
422,University of St. Francis - Illinois,https://www.niche.com/colleges/university-of-st-francis---illinois/admissions,52%,"1,560",1030-1240,490-630,540-610,6%,20-25,20-25,19-25, ,90%
423,Ursinus College,https://www.niche.com/colleges/ursinus-college/admissions,78%,"3,488",1110-1310,560-660,550-650,64%,24-30,23-30,24-28, ,27%
424,University of South Florida - St. Petersburg,https://www.niche.com/colleges/university-of-south-florida---st-petersburg/admissions,40%,"5,575",1080-1230,550-630,530-600,66%,22-26,22-27,21-25,8-Jul,34%
425,Towson University,https://www.niche.com/colleges/towson-university/admissions,77%,"12,747",1060-1210,540-610,520-600,83%,21-25,20-25,19-25,8-Jul,27%
426,Westminster College - Utah,https://www.niche.com/colleges/westminster-college---utah/admissions,100%,"1,702",1060-1270,530-640,530-630,26%,21-28,20-27,21-29, ,78%
427,Sarah Lawrence College,https://www.niche.com/colleges/sarah-lawrence-college/admissions,53%,"3,463",1240-1410,650-730,590-680,39%,27-31,28-35,23-28, ,36%
428,Otterbein University,https://www.niche.com/colleges/otterbein-university/admissions,76%,"3,119",1040-1300,520-660,520-650,20%,21-27,21-27,21-26,8-Jul,93%
429,University of Wisconsin - Whitewater,https://www.niche.com/colleges/university-of-wisconsin---whitewater/admissions,70%,"6,745",890-1110,420-520,470-590,0%,20-24,19-24,18-25,8-Jun,98%
430,Illinois College,https://www.niche.com/colleges/illinois-college/admissions,55%,"4,121",820-1120, , ,10%, , , , ,85%
431,Fashion Institute of Design & Merchandising - Los Angeles,https://www.niche.com/colleges/fashion-institute-of-design--and--merchandising---los-angeles/admissions,39%,"1,538", , , , , , , , , 
432,Birmingham-Southern College,https://www.niche.com/colleges/birmingham-southern-college/admissions,62%,"2,559",1030-1260,520-630,510-630,18%,23-29,23-31,22-27, ,83%
433,California Baptist University,https://www.niche.com/colleges/california-baptist-university/admissions,77%,"5,039",980-1190,500-600,480-590,77%,19-25,17-25,17-24, ,41%
434,Arizona State University - West Campus,https://www.niche.com/colleges/arizona-state-university---west-campus/admissions,80%,"2,231",1040-1250,530-630,510-620,39%,20-25,19-25,19-25, ,65%
435,Saint Mary's College of California,https://www.niche.com/colleges/saint-marys-college-of-california/admissions,82%,"4,636",1060-1240,540-630,520-610,66%,22-27,21-28,20-26,8-Jul,44%
436,Monmouth University,https://www.niche.com/colleges/monmouth-university/admissions,74%,"9,261",970-1190,490-600,480-590,81%,19-26, , , ,18%
437,Alfred University,https://www.niche.com/colleges/alfred-university/admissions,63%,"3,566",990-1210,490-610,500-600,90%,21-26,19-26,20-27, ,29%
438,Murray State University,https://www.niche.com/colleges/murray-state-university/admissions,87%,"6,900",980-1190,470-560,510-630,8%,21-27,21-29,19-26, ,95%
439,Eastern Illinois University,https://www.niche.com/colleges/eastern-illinois-university/admissions,52%,"6,965", , , ,0%,18-23,17-23,16-23, ,97%
440,Drew University,https://www.niche.com/colleges/drew-university/admissions,56%,"3,205",1030-1250,520-640,510-610,86%,23-28,21-29,20-26, ,27%
441,Georgia State University,https://www.niche.com/colleges/georgia-state-university/admissions,70%,"14,462",1040-1220,530-620,510-600,78%,19-26,20-26,20-26, ,46%
442,Montana Technological University,https://www.niche.com/colleges/montana-technological-university/admissions,92%,630,1120-1300,540-630,580-670,16%,22-27,20-25,24-27,8-Jun,84%
443,William Jessup University,https://www.niche.com/colleges/william-jessup-university/admissions,66%,816,1000-1220,500-600,500-610,77%,21-26,19-26,20-26, ,46%
444,SUNY Geneseo,https://www.niche.com/colleges/suny-geneseo/admissions,72%,"8,789",1120-1300,570-650,550-650,68%,24-29, , , ,31%
445,University of Wisconsin - Milwaukee,https://www.niche.com/colleges/university-of-wisconsin---milwaukee/admissions,72%,"10,232", , , ,0%,20-25,19-25,18-25,8-Jun,97%
446,Milligan College,https://www.niche.com/colleges/milligan-college/admissions,58%,722,1000-1220,500-630,500-590,34%,23-27,22-30,21-27, ,82%
447,Adventist University of Health Sciences,https://www.niche.com/colleges/adventist-university-of-health-sciences/admissions,97%,317,920-1050,470-540,450-510,83%,19-23,20-23,17-22, ,64%
448,SUNY New Paltz,https://www.niche.com/colleges/suny-new-paltz/admissions,44%,"13,753",1100-1260,560-640,540-620,86%,23-28,22-28,22-27,8-Jul,26%
449,Florida A&M University,https://www.niche.com/colleges/florida-a-and-m-university/admissions,46%,"7,533",1000-1140,500-580,500-560,35%,18-22,16-22,17-22,8-Jun,65%
450,Berry College,https://www.niche.com/colleges/berry-college/admissions,62%,"3,883",1120-1300,570-660,550-640,39%,24-29,24-30,22-27, ,61%
451,University of Nebraska at Omaha,https://www.niche.com/colleges/university-of-nebraska-at-omaha/admissions,87%,"9,158",840-1100,420-560,420-540,1%,19-26,18-26,17-25,8-Jun,97%
452,Spalding University,https://www.niche.com/colleges/spalding-university/admissions,59%,934,980-1120,490-580,490-540,10%,18-23,17-23,17-23, ,90%
453,Xavier University of Louisiana,https://www.niche.com/colleges/xavier-university-of-louisiana/admissions,64%,"7,165",960-1180,490-590,470-590,28%,20-26,20-27,18-25, ,82%
454,University of Wisconsin - Stevens Point,https://www.niche.com/colleges/university-of-wisconsin---stevens-point/admissions,84%,"3,655", , , ,0%,20-25,19-25,18-25,8-Jun,96%
455,Mills College,https://www.niche.com/colleges/mills-college/admissions,87%,961,925-1233,485-640,440-593,58%,23-29, , , ,23%
456,Carroll College,https://www.niche.com/colleges/carroll-college/admissions,78%,"2,686",1080-1270,540-640,540-630,45%,22-28,21-27,21-27,9-Jun,70%
457,Massachusetts College of Pharmacy & Health Sciences,https://www.niche.com/colleges/massachusetts-college-of-pharmacy--and--health-sciences/admissions,84%,"5,526",1040-1270,520-620,520-650,76%,22-28,20-26,21-27,9-Aug,23%
458,University of Massachusetts - Boston,https://www.niche.com/colleges/university-of-massachusetts---boston/admissions,75%,"10,507",1040-1220,520-610,520-610,70%,21-26,21-29,21-26, ,9%
459,University of New Hampshire at Manchester,https://www.niche.com/colleges/university-of-new-hampshire-at-manchester/admissions,61%,251,1050-1220,530-620,520-600,98%,22-26,22-28,19-29, ,2%
460,Transylvania University,https://www.niche.com/colleges/transylvania-university/admissions,95%,"1,567",1040-1300,510-640,530-660,22%,25-30,25-33,24-29, ,90%
461,Abilene Christian University,https://www.niche.com/colleges/abilene-christian-university/admissions,58%,"10,252",1020-1220,510-620,520-600,47%,21-26,20-26,20-26,8-Jun,52%
462,George Fox University,https://www.niche.com/colleges/george-fox-university/admissions,82%,"2,877",1050-1270,530-650,520-620,78%,21-27,20-28,20-27,8-Jun,41%
463,Wheaton College - Massachusetts,https://www.niche.com/colleges/wheaton-college---massachusetts/admissions,48%,"6,089",1150-1350,590-680,560-670,42%,26-30, , , ,15%
464,Brigham Young University - Hawaii,https://www.niche.com/colleges/brigham-young-university---hawaii/admissions,37%,"3,340",1090-1250,550-630,540-620,25%,22-26,22-27,21-26, ,78%
465,University of Mary Washington,https://www.niche.com/colleges/university-of-mary-washington/admissions,73%,"5,977",1080-1260,550-650,530-610,73%,22-27,19-26,21-28, ,26%
466,Wilkes University,https://www.niche.com/colleges/wilkes-university/admissions,75%,"4,067",1040-1220,520-610,520-610,89%,21-26,19-25,19-27, ,22%
467,Lipscomb University,https://www.niche.com/colleges/lipscomb-university/admissions,60%,"3,581",1060-1330,540-670,520-660,22%,23-29,23-32,22-28, ,90%
468,University of Minnesota Duluth,https://www.niche.com/colleges/university-of-minnesota-duluth/admissions,77%,"8,693",1050-1280,520-640,530-640,2%,22-26,20-26,21-27,8-Jul,99%
469,Jacksonville University,https://www.niche.com/colleges/jacksonville-university/admissions,87%,"2,978",930-1150,460-560,470-590,8%,21-27,20-27,19-26, ,26%
470,University of North Carolina - Greensboro,https://www.niche.com/colleges/university-of-north-carolina---greensboro/admissions,78%,"8,501",1030-1180,520-600,510-580,56%,20-25,19-25,18-24,8-Jun,47%
471,Presbyterian College,https://www.niche.com/colleges/presbyterian-college/admissions,65%,"2,277",1020-1250,510-620,510-630,47%,21-27, , , ,53%
472,University of Baltimore,https://www.niche.com/colleges/university-of-baltimore/admissions,81%,426,890-1110,450-580,440-530,67%,16-22,17-21,16-20, ,9%
473,University of Redlands,https://www.niche.com/colleges/university-of-redlands/admissions,75%,"4,776",1070-1250,540-630,530-620,68%,23-28,23-28,21-27, ,32%
474,Montana State University,https://www.niche.com/colleges/montana-state-university/admissions,83%,"16,769",1090-1300,550-650,540-650,29%,21-28,20-27,20-27, ,78%
475,Johnson University,https://www.niche.com/colleges/johnson-university/admissions,98%,247,980-1240,500-620,480-620,36%,19-25,19-25,18-24, ,77%
476,Saint Edward's University,https://www.niche.com/colleges/saint-edwards-university/admissions,84%,"5,519",1080-1250,550-640,530-610,56%,22-28,22-28,21-26, ,41%
477,University of Minnesota - Crookston,https://www.niche.com/colleges/university-of-minnesota---crookston/admissions,69%,"1,377",960-1140,470-580,490-560,10%,19-24,18-23,19-25,8-Jun,92%
478,Stetson University,https://www.niche.com/colleges/stetson-university/admissions,68%,"11,732",1070-1270,530-630,525-630,50%,25-28,25-28,23-28,8-Jul,36%
479,Hampden-Sydney College,https://www.niche.com/colleges/hampden-sydney-college/admissions,55%,"3,573",1050-1260,530-640,520-630,79%,21-27,20-27,20-26, ,42%
480,Florida Gulf Coast University,https://www.niche.com/colleges/florida-gulf-coast-university/admissions,64%,"13,832",1060-1210,540-610,520-600,54%,21-25,21-26,20-25,8-Jul,66%
481,Washington College,https://www.niche.com/colleges/washington-college/admissions,48%,"5,515",1040-1280,540-630,530-620,95%,23-27, , , ,22%
482,South Dakota State University,https://www.niche.com/colleges/south-dakota-state-university/admissions,91%,"5,551",980-1260,480-630,500-630,3%,20-26,18-25,19-26, ,97%
483,Lancaster Bible College - Capital Seminary & Graduate School,https://www.niche.com/colleges/lancaster-bible-college---capital-seminary--and--graduate-school/admissions,72%,376,940-1170,480-590,460-580,81%,20-25,19-27,17-24, ,23%
484,Grand Valley State University,https://www.niche.com/colleges/grand-valley-state-university/admissions,81%,"17,533",1050-1230,530-620,520-610,76%,21-26,21-27,20-26,8-Jul,54%
485,Maine Maritime Academy,https://www.niche.com/colleges/maine-maritime-academy/admissions,80%,760,990-1180,490-590,500-590,89%,18-24,16-23,19-24, ,13%
486,Hollins University,https://www.niche.com/colleges/hollins-university/admissions,48%,"2,842",1110-1300,580-680,530-620,75%,23-28, , , ,37%
487,Lycoming College,https://www.niche.com/colleges/lycoming-college/admissions,64%,"1,924",990-1200,490-600,500-600,85%,21-25, , , ,24%
488,Embry-Riddle Aeronautical University - Worldwide,https://www.niche.com/colleges/embry-riddle-aeronautical-university---worldwide/admissions,63%,"1,108", , , , , , , , , 
489,Indiana University-Purdue University - Indianapolis (IUPUI),https://www.niche.com/colleges/indiana-university-purdue-university---indianapolis-iupui/admissions,80%,"11,091",1000-1190,500-600,500-590,85%,19-26,18-25,18-26,8-Jun,46%
490,The College of Idaho,https://www.niche.com/colleges/the-college-of-idaho/admissions,76%,"1,665",920-1190,450-600,470-590,91%,21-27,20-27,20-27, ,63%
491,California Institute of the Arts,https://www.niche.com/colleges/california-institute-of-the-arts/admissions,24%,"2,265", , , , , , , , , 
492,Molloy College,https://www.niche.com/colleges/molloy-college/admissions,76%,"4,188",1060-1210,530-610,530-600,84%,21-27, , , ,36%
493,Western Illinois University,https://www.niche.com/colleges/western-illinois-university/admissions,60%,"9,767", , , ,0%,18-23,17-23,17-23, ,96%
494,La Salle University,https://www.niche.com/colleges/la-salle-university/admissions,79%,"6,566",870-1080,440-540,430-540,79%,19-25, , , ,20%
495,Concordia University - Nebraska,https://www.niche.com/colleges/concordia-university---nebraska/admissions,75%,"1,537",920-1100,480-550,440-550,22%,21-26,20-26,19-26, ,85%
496,University of Texas - Arlington,https://www.niche.com/colleges/university-of-texas---arlington/admissions,71%,"12,333",1060-1270,530-630,530-640,85%,20-27,19-26,19-26,8-Jun,42%
497,Saint John's University - Minnesota,https://www.niche.com/colleges/saint-johns-university---minnesota/admissions,80%,"1,639",970-1190,490-590,480-600,11%,22-27,21-27,22-28,8-Jul,90%
498,Fresno Pacific University,https://www.niche.com/colleges/fresno-pacific-university/admissions,72%,623,980-1140,490-580,480-560,75%,18-22,16-22,16-22, ,36%
499,Stockton University,https://www.niche.com/colleges/stockton-university/admissions,82%,"5,706",1010-1200,510-610,500-590,95%,19-25,18-25,18-26, ,20%