,Academics,Value,Diversity,Campus,Athletics,Party_Scene,Professors,Location,Dorms,Campus_Food,Student_Life,Safety
A+,25,44,13,8,19,23,25,13,7,14,31,5
A,23,51,72,28,12,20,30,15,12,15,31,12
A-,34,43,43,23,21,18,34,22,20,14,26,13
B+,44,16,20,17,20,17,34,28,17,28,25,23
B,28,3,5,37,28,28,26,16,25,27,23,37
B-,3,0,3,15,29,17,6,19,30,14,13,34
C+,0,0,1,8,6,17,1,15,20,17,7,24
C-,0,0,0,8,0,7,0,9,9,8,0,2
C,0,0,0,10,4,4,1,14,4,9,1,7
D+,0,0,0,2,0,1,0,1,0,2,0,0
D,0,0,0,0,1,1,0,1,3,1,0,0
NG,0,0,0,1,17,4,0,4,10,8,0,0
Summary For Dummies Variable,,,,,,,,,,,,
A,82,138,128,59,52,61,89,50,39,43,88,30
Not A,75,19,29,98,105,96,68,107,118,114,69,127